"TIPO";"PERIODO";"CO_ANO";"CO_PAIS";"NO_PAIS";"CO_PAIS_ISOA3";"NO_PPE_PPI";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chapas, folhas, tiras, películas e laminas, de plástico";"Produtos Manufaturados";590819;49249
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chassis com motor e carroçarias p/ veículos automóveis";"Produtos Manufaturados";387300;29400
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chocolate e preparações alimentícias com cacau";"Produtos Manufaturados";5800;4000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cilindros hidráulicos";"Produtos Manufaturados";90877;11075
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Circuitos impressos";"Produtos Manufaturados";128771;1659
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Circuitos integrados e microconjuntos eletrônicos";"Produtos Manufaturados";3820944;4495
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cobre, em barras, perfis, fios, chapas, folhas e tiras";"Produtos Manufaturados";9501979;1537277
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Colofonias, ácidos resínicos e seus derivados";"Produtos Manufaturados";2530068;1482400
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Compostos de função cetona ou de função quinona";"Produtos Manufaturados";111760;90700
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Compostos de funções nitrogenadas";"Produtos Manufaturados";308158;44388
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Compostos heterocíclicos, seus sais e sulfonamidas";"Produtos Manufaturados";194002;98480
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Condensadores elétricos, fixos, variáveis ou ajustáveis";"Produtos Manufaturados";5528646;101732
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Construções e suas partes,de ferro fundido,ferro ou aço";"Produtos Manufaturados";5203;9000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Construções pré-fabricadas";"Produtos Manufaturados";1060;30
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Consumo de bordo - demais";"Operações Especiais";400034;133543
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Consumo de bordo - óleos e combustíveis";"Operações Especiais";1277975;1790312
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cordas e cabos de ferro ou aço,não isolados p/uso eletr";"Produtos Manufaturados";212418;50020
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Corindo artificial";"Produtos Manufaturados";6360;10000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Correia transportadora/transmissão,de borracha vulcaniz";"Produtos Manufaturados";9773;208
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Correntes, de ferro fundido, ferro ou aço";"Produtos Manufaturados";8395;425
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Couros e peles, depilados, exceto em bruto";"Produtos Semimanufaturados";234820626;56979037
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Demais produtos básicos";"Produtos Básicos";51262034;46124465
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Demais produtos manufaturados";"Produtos Manufaturados";58102056;91179393
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Demais produtos semimanufaturados";"Produtos Semimanufaturados";17842736;29585326
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Desperdícios e resíduos de cobre";"Produtos Básicos";10043531;2811778
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Desperdícios e resíduos de ferro ou aço";"Produtos Básicos";715114;1089940
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Dextrina e outros amidos e féculas modificados";"Produtos Manufaturados";6984;1440
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Éteres alcoólicos e seus derivados";"Produtos Manufaturados";1392074;1145897
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Extratos tanantes de origem vegetal";"Produtos Semimanufaturados";2149768;1391545
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Extratos,essências,concentrado de café,exc.café solúvel";"Produtos Manufaturados";5193;756
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Facas, navalhas, aparelhos de barbear e tesouras";"Produtos Manufaturados";21;2
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Falsos tecidos sintéticos ou artificiais";"Produtos Manufaturados";309859;81532
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Farelo e resíduos da extração de óleo de soja";"Produtos Básicos";637904;1600000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ferragens para portas e janelas, de metais comuns";"Produtos Manufaturados";479017;36636
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ferramentas de uso manual ou para uso em maquinas";"Produtos Manufaturados";1274645;51238
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ferramentas eletromecânicas com motor, de uso manual";"Produtos Manufaturados";6400;12301
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ferramentas manuais, pneumáticas, hidráulicas, etc.";"Produtos Manufaturados";729493;21639
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ferro-ligas";"Produtos Semimanufaturados";231234715;22524894
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fibras de vidro e suas obras";"Produtos Manufaturados";7446687;5119674
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fio-máquina e barras de ferro ou aços";"Produtos Manufaturados";250495;204289
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fios de fibras têxteis, sintéticas ou artificiais";"Produtos Manufaturados";377181;278685
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fios, cabos e condutores para uso elétrico";"Produtos Manufaturados";4748686;578259
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fitas de fibras sintéticas ou artificiais";"Produtos Manufaturados";941893;135492
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fumo em folhas e desperdícios";"Produtos Básicos";1476469;183873
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Fumo manufaturado e seus sucedâneos";"Produtos Manufaturados";101970;19800
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Grafita natural";"Produtos Básicos";253223;28000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Grupos para condicionamento de ar";"Produtos Manufaturados";194153;3638
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Guarnições para embreagens";"Produtos Manufaturados";906931;47226
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Guarnições para freios";"Produtos Manufaturados";171733;76341
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Heterosídios e alcaloides vegetais,naturais/reproduzido";"Produtos Manufaturados";1471220;57630
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Hidrocarbonetos e seus derivados halogenados, etc.";"Produtos Manufaturados";213302;82360
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Inseticidas, formicidas, herbicidas e prods.semelhantes";"Produtos Manufaturados";484312;81125
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Instrumentos e aparelhos de medida, de verificação,etc.";"Produtos Manufaturados";1745266;119889
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Instrumentos e aparelhos médicos";"Produtos Manufaturados";473486;13025
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Instrumentos e aparelhos para navegação aérea";"Produtos Manufaturados";50902;7
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Iodetos";"Produtos Manufaturados";551750;24000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Juntas e gaxetas de borracha vulcanizada não endurecida";"Produtos Manufaturados";774987;11924
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Laminadores de metais e seus cilindros";"Produtos Manufaturados";7150;10240
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Lâmpadas, tubos elétricos e faróis";"Produtos Manufaturados";2187;7
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Lentes para óculos e lentes de contato";"Produtos Manufaturados";2442127;21996
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Leveduras e outros microorganismos monocelulares,mortos";"Produtos Manufaturados";405181;184003
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Livros, revistas, jornais e impressos semelhantes";"Produtos Manufaturados";10264;262
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeira compensada ou contraplacada e semelhantes";"Produtos Manufaturados";52275;72336
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeira em estilhas ou em partículas";"Produtos Semimanufaturados";4676303;50174488
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeira laminada";"Produtos Semimanufaturados";545242;828287
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeira perfilada, mesmo aplainada, polida ou unida";"Produtos Manufaturados";104050;174526
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeira serrada ou fendida longitud. de espessura > 6mm";"Produtos Semimanufaturados";12499156;22185504
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Madeiras em bruto";"Produtos Básicos";1150829;9223995
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas-ferramentas para forjar ou trabalhar metais";"Produtos Manufaturados";98302;13139
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas automáticas p/process.de dados e suas unidades";"Produtos Manufaturados";567044;4408
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Máquinas de costura,suas partes e pecas";"Produtos Manufaturados";64281;466
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos de elevação de carga,descarga,etc.";"Produtos Manufaturados";326388;53148
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/ encher, fechar, empacotar, etc.";"Produtos Manufaturados";10757;500
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/fabr.de pasta celulósica e papel";"Produtos Manufaturados";66018;1323
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/moldar borracha ou plástico";"Produtos Manufaturados";71541;1956
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/terraplanagem, perfuração, etc.";"Produtos Manufaturados";207637;718
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/tratam.de pedra e subst. mineral";"Produtos Manufaturados";619034;66659
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Maquinas e aparelhos p/uso agrícola (exceto trator)";"Produtos Manufaturados";868329;125380
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Mármores e granitos, em bruto ou desbastados";"Produtos Básicos";29154406;154076858
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Matérias corantes orgânicas sintéticas";"Produtos Manufaturados";162727;15335
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Matérias,desperdícios e resíduos vegetais p/alim.animal";"Produtos Básicos";6684697;8792930
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Mates de cobre, cobre de cementação (precipit.de cobre)";"Produtos Semimanufaturados";13887500;7744912
